,Average (Mean) Duration of Unemployment,Average Weekly Hours of All Employees: Total Private,"Commercial and Industrial Loans, All Commercial Banks",Manufacturers' New Orders: Nondefense Capital Goods Excluding Aircraft,New Private Housing Units Authorized by Building Permits,US Recession in 13 Weeks,Value of Manufacturers' New Orders for Consumer Goods: Consumer Durable Goods Industries,"Vendor Performance, Percent Reporting Slower Deliveries for United States",month
1999-12-01,12.9,,1001.0495,65451.0,1683.0,,33505.0,,1999-12-01
2000-01-01,13.1,,1003.6346,63975.0,1727.0,,35369.0,,2000-01-01
2000-02-01,12.6,,1016.5905,58497.0,1692.0,,33802.0,,2000-02-01
2000-03-01,12.7,,1026.3039,63642.0,1651.0,,33582.0,,2000-03-01
2000-04-01,12.4,,1035.1991,64414.0,1597.0,,34112.0,,2000-04-01
2000-05-01,12.6,,1052.0804,63753.0,1543.0,,33061.0,,2000-05-01
2000-06-01,12.3,,1062.8185,68292.0,1572.0,,32376.0,,2000-06-01
2000-07-01,13.4,,1068.5861,63581.0,1542.0,,31981.0,,2000-07-01
2000-08-01,12.9,,1071.6725,64759.0,1552.0,,29773.0,,2000-08-01
2000-09-01,12.2,,1072.9278,66733.0,1570.0,,33656.0,,2000-09-01
2000-10-01,12.7,,1077.9163,63580.0,1577.0,,32437.0,,2000-10-01
2000-11-01,12.4,,1080.4648,62569.0,1614.0,,31028.0,,2000-11-01
2000-12-01,12.5,,1085.2826,62554.0,1543.0,,30631.0,,2000-12-01
2001-01-01,12.7,,1094.0971,60808.0,1699.0,,28327.0,,2001-01-01
2001-02-01,12.8,,1094.2973,60697.0,1656.0,,30131.0,,2001-02-01
2001-03-01,12.8,,1092.0557,58146.0,1659.0,,30159.0,,2001-03-01
2001-04-01,12.4,,1089.1736,54841.0,1666.0,,29354.0,,2001-04-01
2001-05-01,12.1,,1084.184,56599.0,1665.0,,30935.0,,2001-05-01
2001-06-01,12.7,,1072.076,55428.0,1626.0,,30441.0,,2001-06-01
2001-07-01,12.9,,1063.9772,53436.0,1598.0,,30927.0,,2001-07-01
2001-08-01,13.3,,1055.8491,54169.0,1615.0,,31176.0,,2001-08-01
2001-09-01,13.2,,1059.2448,50735.0,1565.0,,29162.0,,2001-09-01
2001-10-01,13.3,,1044.5486,49736.0,1566.0,,29859.0,,2001-10-01
2001-11-01,14.3,,1034.0155,51335.0,1651.0,,31309.0,,2001-11-01
2001-12-01,14.5,,1021.7987,51290.0,1680.0,,32059.0,,2001-12-01
2002-01-01,14.7,,1012.1295,47416.0,1665.0,,32011.0,,2002-01-01
2002-02-01,15.0,,1016.8288,50422.0,1787.0,,31261.0,,2002-02-01
2002-03-01,15.4,,1011.8719,47371.0,1691.0,,29902.0,,2002-03-01
2002-04-01,16.3,,1000.2742,49964.0,1669.0,,33850.0,,2002-04-01
2002-05-01,16.8,,990.988,50680.0,1716.0,,33383.0,,2002-05-01
2002-06-01,16.9,,984.1211,48847.0,1758.0,,32769.0,,2002-06-01
2002-07-01,16.9,,976.6671,49531.0,1738.0,,34340.0,,2002-07-01
2002-08-01,16.5,,972.4608,51112.0,1695.0,,34391.0,,2002-08-01
2002-09-01,17.6,,966.29,48089.0,1803.0,,33326.0,,2002-09-01
2002-10-01,17.8,,962.8135,49106.0,1799.0,,34529.0,,2002-10-01
2002-11-01,17.6,,960.5212,49620.0,1771.0,,33757.0,,2002-11-01
2002-12-01,18.5,,957.8298,48744.0,1896.0,,32788.0,,2002-12-01
2003-01-01,18.5,,950.3781,48896.0,1808.0,,34936.0,,2003-01-01
2003-02-01,18.5,,941.6436,49128.0,1854.0,,34336.0,,2003-02-01
2003-03-01,18.1,,937.5419,51757.0,1757.0,,34082.0,,2003-03-01
2003-04-01,19.4,,935.1035,49199.0,1803.0,,33536.0,,2003-04-01
2003-05-01,19.0,,924.0954,50849.0,1835.0,,34324.0,,2003-05-01
2003-06-01,19.9,,917.4028,49941.0,1875.0,,34353.0,,2003-06-01
2003-07-01,19.7,,921.4758,49408.0,1885.0,,36246.0,,2003-07-01
2003-08-01,19.2,,909.6871,50447.0,1966.0,,33995.0,,2003-08-01
2003-09-01,19.5,,899.8902,51971.0,1961.0,,36628.0,,2003-09-01
2003-10-01,19.3,,886.9372,51088.0,2012.0,,36308.0,,2003-10-01
2003-11-01,19.9,,881.787,52318.0,1918.0,,35731.0,,2003-11-01
2003-12-01,19.8,,883.612,53325.0,1987.0,,35080.0,,2003-12-01
2004-01-01,19.9,,876.4207,50190.0,1952.0,,34731.0,,2004-01-01
2004-02-01,20.1,,874.5792,51210.0,1966.0,,35562.0,,2004-02-01
2004-03-01,19.8,,869.3998,54995.0,2066.0,,37237.0,,2004-03-01
2004-04-01,19.6,,864.5074,52065.0,2070.0,,34958.0,,2004-04-01
2004-05-01,19.8,,862.8714,52405.0,2150.0,,34080.0,,2004-05-01
2004-06-01,20.5,,869.1811,53213.0,2020.0,,34394.0,,2004-06-01
2004-07-01,18.8,,878.0762,53699.0,2112.0,,31368.0,,2004-07-01
2004-08-01,18.8,,883.0308,51950.0,2056.0,,34516.0,,2004-08-01
2004-09-01,19.4,,886.8239,56227.0,2041.0,,34385.0,,2004-09-01
2004-10-01,19.5,,889.2936,53948.0,2097.0,,33977.0,,2004-10-01
2004-11-01,19.7,,897.6287,55318.0,2079.0,,35563.0,,2004-11-01
2004-12-01,19.4,,906.4208,56631.0,2082.0,,35638.0,,2004-12-01
2005-01-01,19.5,,921.4766,57884.0,2139.0,,34201.0,,2005-01-01
2005-02-01,19.1,,931.8728,57580.0,2114.0,,34873.0,,2005-02-01
2005-03-01,19.5,,945.8598,56576.0,2062.0,,33079.0,,2005-03-01
2005-04-01,19.6,,958.5723,58138.0,2150.0,,35209.0,,2005-04-01
2005-05-01,18.6,,968.6706,57105.0,2085.0,,34876.0,,2005-05-01
2005-06-01,17.9,,975.0938,58903.0,2178.0,,34543.0,,2005-06-01
2005-07-01,17.6,,989.5683,57606.0,2203.0,,34342.0,,2005-07-01
2005-08-01,18.4,,995.88,60352.0,2219.0,,35889.0,,2005-08-01
2005-09-01,17.9,,1000.9518,58344.0,2263.0,,37404.0,,2005-09-01
2005-10-01,17.9,,1014.4701,59751.0,2170.0,,36277.0,,2005-10-01
2005-11-01,17.5,,1022.6095,60459.0,2218.0,,34992.0,,2005-11-01
2005-12-01,17.5,,1036.1682,61271.0,2120.0,,35774.0,,2005-12-01
2006-01-01,16.9,,1048.856,62469.0,2212.0,,36115.0,,2006-01-01
2006-02-01,17.8,,1058.512,62592.0,2141.0,,35831.0,,2006-02-01
2006-03-01,17.1,34.2,1068.7248,65096.0,2118.0,,36191.0,,2006-03-01
2006-04-01,16.7,34.3,1084.9873,63272.0,1998.0,,34888.0,,2006-04-01
2006-05-01,17.1,34.3,1103.2095,64145.0,1905.0,,36780.0,,2006-05-01
2006-06-01,16.6,34.4,1118.8082,63601.0,1867.0,,36700.0,,2006-06-01
2006-07-01,17.1,34.4,1130.5368,63922.0,1763.0,,32293.0,,2006-07-01
2006-08-01,17.1,34.3,1152.2955,64379.0,1722.0,,33904.0,,2006-08-01
2006-09-01,17.1,34.4,1151.2134,66981.0,1655.0,,33161.0,,2006-09-01
2006-10-01,16.3,34.3,1161.3232,66492.0,1570.0,,33778.0,,2006-10-01
2006-11-01,16.2,34.4,1169.9763,66484.0,1535.0,,33700.0,,2006-11-01
2006-12-01,16.1,34.5,1182.5945,65935.0,1638.0,,36221.0,,2006-12-01
2007-01-01,16.3,34.3,1192.5063,64015.0,1626.0,,33741.0,,2007-01-01
2007-02-01,16.7,34.3,1205.1098,63882.0,1598.0,,34131.0,,2007-02-01
2007-03-01,17.8,34.4,1215.8239,66935.0,1596.0,,35076.0,,2007-03-01
2007-04-01,16.9,34.3,1226.4701,66049.0,1470.0,,35810.0,,2007-04-01
2007-05-01,16.6,34.4,1244.4644,64811.0,1493.0,,36145.0,,2007-05-01
2007-06-01,16.5,34.5,1263.8758,64999.0,1407.0,,35913.0,,2007-06-01
2007-07-01,17.2,34.4,1281.645,65147.0,1361.0,,36513.0,,2007-07-01
2007-08-01,17.0,34.4,1307.649,66192.0,1321.0,,35913.0,,2007-08-01
2007-09-01,16.3,34.4,1350.0516,65178.0,1261.0,,34447.0,,2007-09-01
2007-10-01,17.0,34.3,1374.7957,65144.0,1192.0,,35181.0,,2007-10-01
2007-11-01,17.3,34.4,1393.7151,65239.0,1224.0,,34931.0,,2007-11-01
2007-12-01,16.6,34.4,1417.7094,68163.0,1149.0,,34044.0,,2007-12-01
2008-01-01,17.5,34.4,1441.0699,68229.0,1094.0,,33781.0,,2008-01-01
2008-02-01,16.9,34.4,1449.1891,66452.0,1014.0,,33725.0,,2008-02-01
2008-03-01,16.5,34.4,1470.7837,66337.0,967.0,,30618.0,,2008-03-01
2008-04-01,16.9,34.3,1490.0767,69555.0,1008.0,,31541.0,,2008-04-01
2008-05-01,16.6,34.4,1491.1741,68572.0,995.0,,30704.0,,2008-05-01
2008-06-01,17.1,34.4,1498.2133,67759.0,1180.0,,30747.0,,2008-06-01
2008-07-01,17.0,34.3,1512.0211,67754.0,921.0,,29320.0,,2008-07-01
2008-08-01,17.7,34.3,1513.7118,66479.0,858.0,,28630.0,,2008-08-01
2008-09-01,18.6,34.2,1530.9481,63556.0,797.0,,29037.0,,2008-09-01
2008-10-01,19.9,34.3,1586.534,59439.0,736.0,,26935.0,,2008-10-01
2008-11-01,18.9,34.1,1575.5505,60513.0,626.0,,26135.0,,2008-11-01
2008-12-01,19.9,33.9,1558.813,55732.0,554.0,,24497.0,,2008-12-01
2009-01-01,19.8,34.0,1544.889,49523.0,545.0,,22504.0,,2009-01-01
2009-02-01,20.2,34.0,1532.761,50247.0,558.0,,21736.0,,2009-02-01
2009-03-01,20.9,33.8,1511.3365,48959.0,513.0,,21850.0,,2009-03-01
2009-04-01,21.7,33.8,1491.5942,47043.0,521.0,,21686.0,,2009-04-01
2009-05-01,22.4,33.8,1469.3807,48777.0,556.0,,20841.0,,2009-05-01
2009-06-01,23.9,33.7,1436.2956,50508.0,601.0,,19562.0,,2009-06-01
2009-07-01,25.1,33.8,1395.3133,51053.0,595.0,,21525.0,,2009-07-01
2009-08-01,25.3,33.8,1363.5272,50126.0,616.0,,22490.0,,2009-08-01
2009-09-01,26.6,33.9,1337.7022,52991.0,609.0,,22778.0,,2009-09-01
2009-10-01,27.5,33.8,1307.8399,52061.0,583.0,,23406.0,,2009-10-01
2009-11-01,28.9,33.9,1290.1111,52778.0,623.0,,24534.0,,2009-11-01
2009-12-01,29.7,33.9,1265.2619,54427.0,664.0,,25155.0,,2009-12-01
2010-01-01,30.3,34.1,1238.7275,52365.0,636.0,,26250.0,,2010-01-01
2010-02-01,29.8,33.8,1223.6152,53386.0,650.0,,23734.0,,2010-02-01
2010-03-01,31.6,34.0,1210.1271,56130.0,687.0,,24603.0,,2010-03-01
2010-04-01,33.3,34.1,1207.4725,52604.0,637.0,,25512.0,,2010-04-01
2010-05-01,34.0,34.1,1196.7238,57162.0,575.0,,26152.0,,2010-05-01
2010-06-01,34.5,34.1,1190.1035,59728.0,587.0,,26565.0,,2010-06-01
2010-07-01,33.9,34.1,1188.9413,56453.0,579.0,,28120.0,,2010-07-01
2010-08-01,33.7,34.2,1187.8391,58633.0,580.0,,28207.0,,2010-08-01
2010-09-01,33.4,34.3,1185.9545,59839.0,563.0,,28711.0,,2010-09-01
2010-10-01,34.0,34.3,1184.9,57751.0,558.0,,28496.0,,2010-10-01
2010-11-01,33.9,34.2,1187.0833,60426.0,560.0,,28009.0,,2010-11-01
2010-12-01,34.7,34.3,1192.4508,61858.0,632.0,,28920.0,,2010-12-01
2011-01-01,37.2,34.2,1196.0521,60696.0,576.0,,28746.0,,2011-01-01
2011-02-01,37.4,34.3,1199.7673,59049.0,542.0,,28858.0,,2011-02-01
2011-03-01,39.1,34.3,1206.9387,62057.0,583.0,,30530.0,,2011-03-01
2011-04-01,38.7,34.4,1214.807,61957.0,581.0,,27926.0,,2011-04-01
2011-05-01,39.6,34.3,1228.9109,63863.0,618.0,,27726.0,,2011-05-01
2011-06-01,39.9,34.3,1233.6034,63492.0,636.0,,28220.0,,2011-06-01
2011-07-01,40.7,34.4,1244.2764,64870.0,621.0,,29979.0,,2011-07-01
2011-08-01,40.5,34.3,1263.3354,64663.0,647.0,,27890.0,,2011-08-01
2011-09-01,40.4,34.4,1269.7253,65559.0,610.0,,27607.0,,2011-09-01
2011-10-01,38.7,34.4,1280.0728,67585.0,671.0,,29634.0,,2011-10-01
2011-11-01,40.2,34.4,1292.8963,65081.0,706.0,,28908.0,,2011-11-01
2011-12-01,40.4,34.4,1303.8451,68520.0,697.0,,29150.0,,2011-12-01
2012-01-01,40.2,34.5,1321.3661,67740.0,712.0,,29958.0,,2012-01-01
2012-02-01,39.7,34.5,1344.4322,69729.0,738.0,,29799.0,,2012-02-01
2012-03-01,39.3,34.4,1351.0597,69443.0,806.0,,30200.0,,2012-03-01
2012-04-01,39.2,34.5,1368.4636,67904.0,732.0,,32073.0,,2012-04-01
2012-05-01,39.6,34.4,1378.9156,69087.0,796.0,,32169.0,,2012-05-01
2012-06-01,40.3,34.4,1397.9647,66981.0,794.0,,32151.0,,2012-06-01
2012-07-01,39.3,34.4,1413.7012,65108.0,849.0,,31686.0,,2012-07-01
2012-08-01,39.6,34.4,1425.8549,63671.0,840.0,,30943.0,,2012-08-01
2012-09-01,39.8,34.4,1434.3839,63851.0,930.0,,31224.0,,2012-09-01
2012-10-01,39.6,34.4,1449.2111,65817.0,887.0,,30263.0,,2012-10-01
2012-11-01,39.0,34.4,1457.2875,66737.0,917.0,,31280.0,,2012-11-01
2012-12-01,37.6,34.5,1474.5049,66397.0,941.0,,31262.0,,2012-12-01
2013-01-01,35.6,34.4,1485.0308,69666.0,940.0,,32161.0,,2013-01-01
2013-02-01,36.4,34.5,1491.4671,66186.0,980.0,,33235.0,,2013-02-01
2013-03-01,37.0,34.5,1499.896,65911.0,936.0,,32387.0,,2013-03-01
2013-04-01,36.5,34.4,1507.2634,67245.0,1012.0,,33468.0,,2013-04-01
2013-05-01,36.8,34.5,1510.3569,69054.0,1003.0,,33021.0,,2013-05-01
2013-06-01,36.4,34.5,1521.793,68803.0,942.0,,33376.0,,2013-06-01
2013-07-01,37.3,34.4,1531.8255,65978.0,997.0,,32545.0,,2013-07-01
2013-08-01,37.6,34.5,1533.4024,65882.0,964.0,,33925.0,,2013-08-01
2013-09-01,37.4,34.4,1539.9032,66200.0,1004.0,,33786.0,,2013-09-01
2013-10-01,35.1,34.4,1549.0928,64322.0,1044.0,,34808.0,,2013-10-01
2013-11-01,36.6,34.5,1558.5274,68263.0,1029.0,,36729.0,,2013-11-01
2013-12-01,36.5,34.4,1574.4486,66857.0,1007.0,,33758.0,,2013-12-01
2014-01-01,35.1,34.4,1586.6613,67962.0,983.0,,33082.0,,2014-01-01
2014-02-01,36.5,34.3,1619.8115,67110.0,1045.0,,35331.0,,2014-02-01
2014-03-01,35.3,34.5,1634.1345,68192.0,1062.0,,35546.0,,2014-03-01
2014-04-01,34.9,34.5,1651.0081,66236.0,1085.0,,34905.0,,2014-04-01
2014-05-01,34.4,34.5,1663.7247,65504.0,1016.0,,36930.0,,2014-05-01
2014-06-01,33.9,34.5,1676.9617,69424.0,1003.0,,35780.0,,2014-06-01
2014-07-01,32.7,34.5,1694.9863,67521.0,1073.0,,38570.0,,2014-07-01
2014-08-01,32.0,34.6,1712.3078,68353.0,1047.0,,36571.0,,2014-08-01
2014-09-01,31.9,34.5,1725.4348,69215.0,1076.0,,36913.0,,2014-09-01
2014-10-01,32.3,34.6,1729.5309,65372.0,1100.0,,37302.0,,2014-10-01
2014-11-01,32.7,34.6,1751.3379,64362.0,1062.0,,36791.0,,2014-11-01
2014-12-01,32.7,34.6,1773.5443,65561.0,1074.0,,38140.0,,2014-12-01
2015-01-01,31.9,34.5,1791.2859,65854.0,1057.0,,35825.0,,2015-01-01
2015-02-01,31.2,34.6,1807.7031,64254.0,1131.0,,35693.0,,2015-02-01
2015-03-01,30.5,34.5,1834.3429,64321.0,1071.0,,38740.0,,2015-03-01
2015-04-01,30.9,34.5,1847.9066,63970.0,1161.0,,37706.0,,2015-04-01
2015-05-01,30.7,34.5,1863.9023,62649.0,1270.0,,38368.0,,2015-05-01
2015-06-01,28.4,34.5,1880.8777,63225.0,1367.0,,39210.0,,2015-06-01
2015-07-01,28.1,34.5,1890.1728,63979.0,1136.0,,40096.0,,2015-07-01
2015-08-01,28.3,34.6,1904.4622,63465.0,1166.0,,39037.0,,2015-08-01
2015-09-01,26.0,34.5,1914.7348,63285.0,1143.0,,39684.0,,2015-09-01
2015-10-01,27.5,34.6,1927.5008,63011.0,1165.0,,38747.0,,2015-10-01
2015-11-01,27.9,34.5,1945.362,62254.0,1251.0,,39538.0,,2015-11-01
2015-12-01,27.8,34.5,1953.3169,59922.0,1213.0,,39018.0,,2015-12-01
2016-01-01,29.1,34.6,1963.0758,61849.0,1176.0,,39969.0,,2016-01-01
2016-02-01,29.1,34.4,1986.2564,60788.0,1192.0,,40544.0,,2016-02-01
2016-03-01,28.4,34.4,2018.5039,60517.0,1113.0,,39058.0,,2016-03-01
2016-04-01,28.2,34.4,2034.062,60503.0,1152.0,,39955.0,,2016-04-01
2016-05-01,26.9,34.4,2049.4868,59218.0,1188.0,,38430.0,,2016-05-01
2016-06-01,28.1,34.4,2052.9931,59724.0,1196.0,,39044.0,,2016-06-01
2016-07-01,27.9,34.4,2059.8274,60456.0,1187.0,,39954.0,,2016-07-01
2016-08-01,27.3,34.3,2053.5186,61821.0,1207.0,,39832.0,,2016-08-01
2016-09-01,26.8,34.4,2069.0221,60102.0,1283.0,,40075.0,,2016-09-01
2016-10-01,26.4,34.4,2081.1498,60055.0,1281.0,,39582.0,,2016-10-01
2016-11-01,25.8,34.3,2086.3677,60578.0,1246.0,,39215.0,,2016-11-01
2016-12-01,26.1,34.4,2080.7933,60470.0,1257.0,,40337.0,,2016-12-01
2017-01-01,25.0,34.4,2080.1662,62355.0,1321.0,,40311.0,,2017-01-01
2017-02-01,25.3,34.3,2080.3801,62687.0,1247.0,,39374.0,,2017-02-01
2017-03-01,25.4,34.3,2065.6408,63108.0,1286.0,,38883.0,,2017-03-01
2017-04-01,24.4,34.4,2069.8661,63572.0,1245.0,,38383.0,,2017-04-01
2017-05-01,25.0,34.4,2075.1288,63719.0,1201.0,,40081.0,,2017-05-01
2017-06-01,25.1,34.4,2077.7972,63456.0,1317.0,,39812.0,,2017-06-01
2017-07-01,24.9,34.4,2081.1444,64123.0,1255.0,,38739.0,,2017-07-01
2017-08-01,24.3,34.4,2089.1515,64555.0,1315.0,,39896.0,,2017-08-01
2017-09-01,26.4,34.3,2102.2563,68024.0,1261.0,,39617.0,,2017-09-01
2017-10-01,25.5,34.4,2105.9593,67140.0,1349.0,,40044.0,,2017-10-01
2017-11-01,25.1,34.5,2101.8195,65101.0,1314.0,,40832.0,,2017-11-01
2017-12-01,23.8,34.5,2103.073,66707.0,1315.0,,40151.0,,2017-12-01
2018-01-01,23.9,34.4,2105.4828,66237.0,1384.0,,41014.0,,2018-01-01
2018-02-01,22.9,34.5,2108.3058,67522.0,1339.0,,41722.0,,2018-02-01
2018-03-01,24.2,34.5,2123.9696,66828.0,1406.0,,42111.0,,2018-03-01
2018-04-01,23.0,34.5,2171.4872,67882.0,1376.0,,42643.0,,2018-04-01
2018-05-01,21.3,34.5,2178.2567,68034.0,1321.0,,39641.0,,2018-05-01
2018-06-01,21.2,34.5,2197.4494,68784.0,1306.0,,42283.0,,2018-06-01
2018-07-01,23.1,34.5,2212.04,69973.0,1316.0,,44438.0,,2018-07-01
2018-08-01,22.6,34.5,2215.8684,69477.0,1267.0,,43186.0,,2018-08-01
2018-09-01,24.1,34.5,2222.7,69184.0,1288.0,,43479.0,,2018-09-01
2018-10-01,22.4,34.5,2237.3772,69904.0,1281.0,,43968.0,,2018-10-01
2018-11-01,21.7,34.4,2264.2834,69052.0,1334.0,,44248.0,,2018-11-01
2018-12-01,21.8,34.5,2297.8156,67964.0,1339.0,,44718.0,,2018-12-01
2019-01-01,20.5,34.5,2314.9866,68935.0,1316.0,,44187.0,,2019-01-01
2019-02-01,21.7,34.4,2323.5995,69166.0,1287.0,,44117.0,,2019-02-01
2019-03-01,22.2,34.5,2335.9146,69396.0,1288.0,,44069.0,,2019-03-01
2019-04-01,22.9,34.4,2336.5364,68629.0,1290.0,,42909.0,,2019-04-01
2019-05-01,24.1,34.4,2338.7664,68794.0,1299.0,,43482.0,,2019-05-01
2019-06-01,22.2,34.4,2344.8313,69806.0,1232.0,,45015.0,,2019-06-01
2019-07-01,19.6,34.3,2352.9589,,1317.0,,,,2019-07-01
