,"Average Weekly Hours of All Employees, Total Private",Value of Manufacturers' New Orders for Consumer Goods: Consumer Durable Goods Industries,"Vendor Performance, Percent Reporting Slower Deliveries for United States",Manufacturers' New Orders: Nondefense Capital Goods Excluding Aircraft,New Private Housing Units Authorized by Building Permits,University of Michigan: Consumer Sentiment,Average Weeks Unemployed,"Commercial and Industrial Loans, All Commercial Banks",Manufacturers: Inventories to Sales Ratio,Bank Prime Loan Rate,"All Employees, Total Nonfarm",Personal Income,Industrial Production Index,"Manufacturing and Trade Sales, Total for United States"
1972-07-01,,,,,2195.0,,11.8,124.6817,,5.25,73502.0,1019.0,42.498,
1972-08-01,,,,,2263.0,95.2,11.8,126.0083,,5.27,74054.0,1031.4,43.0629,
1972-09-01,,,,,2393.0,,12.1,126.9574,,5.5,74612.0,1040.0,43.3918,
1972-10-01,,,,,2354.0,,11.7,129.0908,,5.73,75290.0,1065.1,43.9718,
1972-11-01,,,,,2234.0,90.7,11.4,131.5901,,5.75,75704.0,1079.2,44.4919,
1972-12-01,,,,,2419.0,,11.4,133.1093,,5.79,76078.0,1086.6,45.0015,
1973-01-01,,,,,2271.0,,11.0,135.4135,,6.0,74613.0,1085.6,45.2942,
1973-02-01,,,,,2226.0,81.9,10.5,140.7983,,6.02,74989.0,1095.3,45.9656,
1973-03-01,,,,,2062.0,,10.6,144.9576,,6.3,75544.0,1104.4,45.9872,
1973-04-01,,,,,1908.0,,10.0,147.5343,,6.61,76132.0,1114.7,45.9237,
1973-05-01,,,,,1931.0,77.0,10.1,149.9659,,7.01,76712.0,1125.1,46.2192,
1973-06-01,,,,,2051.0,,9.6,152.8292,,7.49,77630.0,1134.7,46.2509,
1973-07-01,,,,,1819.0,,9.6,155.3291,,8.3,76691.0,1142.2,46.4421,
1973-08-01,,,,,1809.0,72.0,9.8,158.0681,,9.23,77095.0,1152.0,46.3648,
1973-09-01,,,,,1704.0,,9.4,158.5066,,9.86,77682.0,1163.4,46.7803,
1973-10-01,,,,,1411.0,,10.2,159.1694,,9.94,78306.0,1180.2,47.0954,
1973-11-01,,,,,1402.0,76.5,9.9,159.9353,,9.75,78707.0,1192.6,47.3445,
1973-12-01,,,,,1288.0,,9.5,161.2113,,9.75,78839.0,1199.2,47.2315,
1974-01-01,,,,,1331.0,,9.5,163.0226,,9.73,77045.0,1200.4,46.8994,
1974-02-01,,,,,1360.0,61.8,9.6,164.772,,9.21,77163.0,1207.1,46.7538,
1974-03-01,,,,,1440.0,,9.7,168.8168,,8.85,77485.0,1213.1,46.7685,
1974-04-01,,,,,1254.0,,9.8,174.9909,,10.02,78035.0,1220.9,46.6069,
1974-05-01,,,,,1138.0,72.1,9.6,177.6309,,11.25,78637.0,1234.1,46.9743,
1974-06-01,,,,,1086.0,,9.7,180.1082,,11.54,79336.0,1243.7,46.9233,
1974-07-01,,,,,1002.0,,9.9,183.9873,,11.97,78438.0,1257.8,46.9464,
1974-08-01,,,,,917.0,64.4,9.8,186.3819,,12.0,78584.0,1268.8,46.4907,
1974-09-01,,,,,840.0,,9.6,187.9941,,12.0,79084.0,1280.7,46.5136,
1974-10-01,,,,,824.0,,9.9,189.2302,,11.68,79381.0,1294.0,46.3401,
1974-11-01,,,,,783.0,59.5,9.6,190.4047,,10.83,79060.0,1296.0,44.8209,
1974-12-01,,,,,869.0,,10.1,191.2761,,10.5,78419.0,1305.4,43.234,
1975-01-01,,,,,726.0,,10.7,191.5869,,10.05,76189.0,1312.3,42.6409,
1975-02-01,,,,,729.0,57.6,11.7,190.3805,,8.96,75764.0,1318.8,41.6602,
1975-03-01,,,,,709.0,,11.8,188.1191,,7.93,75808.0,1324.2,41.2135,
1975-04-01,,,,,866.0,,12.9,187.4109,,7.5,76142.0,1330.3,41.246,
1975-05-01,,,,,914.0,72.8,13.4,186.074,,7.4,76774.0,1343.8,41.1515,
1975-06-01,,,,,946.0,,15.3,184.638,,7.07,77270.0,1375.8,41.4224,
1975-07-01,,,,,1020.0,,15.0,183.651,,7.15,76592.0,1372.3,41.8234,
1975-08-01,,,,,994.0,75.7,15.6,182.9282,,7.66,77120.0,1388.5,42.2573,
1975-09-01,,,,,1064.0,,16.1,182.822,,7.88,77726.0,1398.7,42.7796,
1975-10-01,,,,,1096.0,,15.4,182.7142,,7.96,78283.0,1413.4,42.9687,
1975-11-01,,,,,1110.0,75.6,16.6,182.6189,,7.53,78437.0,1422.4,43.0614,
1975-12-01,,,,,1091.0,,16.5,183.3586,,7.26,78726.0,1432.3,43.5973,
1976-01-01,,,,,1195.0,,16.6,182.6481,,7.0,77376.0,1447.2,44.2288,
1976-02-01,,,,,1190.0,84.6,16.3,182.0444,,6.75,77605.0,1457.5,44.6725,
1976-03-01,,,,,1164.0,,16.5,179.4877,,6.75,78214.0,1463.6,44.7125,
1976-04-01,,,,,1132.0,,15.9,177.4755,,6.75,79042.0,1472.5,44.9643,
1976-05-01,,,,,1194.0,83.3,15.0,178.4326,,6.75,79534.0,1481.2,45.1741,
1976-06-01,,,,,1188.0,,16.9,179.102,,7.2,80164.0,1489.9,45.183,
1976-07-01,,,,,1245.0,,15.7,179.1423,,7.25,79393.0,1506.7,45.4535,
1976-08-01,,,,,1309.0,89.7,15.6,179.7949,,7.01,79659.0,1519.3,45.7737,
1976-09-01,,,,,1481.0,,15.2,181.1732,,7.0,80362.0,1529.2,45.9031,
1976-10-01,,,,,1425.0,,15.2,182.4383,,6.77,80593.0,1536.7,45.9207,
1976-11-01,,,,,1531.0,87.0,15.3,183.9005,,6.5,80953.0,1557.2,46.5978,
1976-12-01,,,,,1511.0,,15.1,185.2478,,6.35,81129.0,1570.7,47.0854,
1977-01-01,,,,,1466.0,,15.2,185.7874,,6.25,79540.0,1572.2,46.8276,
1977-02-01,,,,,1560.0,87.1,14.7,187.4113,,6.25,79747.0,1589.6,47.5417,
1977-03-01,,,,,1660.0,,14.5,189.1547,,6.25,80604.0,1604.7,48.131,
1977-04-01,,,,,1660.0,,14.4,190.2948,,6.25,81539.0,1620.9,48.5838,
1977-05-01,,,,,1668.0,90.2,14.9,191.7797,,6.41,82376.0,1633.2,48.9891,
1977-06-01,,,,,1752.0,,14.4,193.5548,,6.75,83338.0,1644.9,49.3428,
1977-07-01,,,,,1687.0,,14.3,195.1835,,6.75,82677.0,1662.6,49.412,
1977-08-01,,,,,1780.0,89.0,13.9,197.4881,,6.83,82971.0,1676.9,49.4259,
1977-09-01,,,,,1674.0,,14.0,198.9991,,7.13,83922.0,1693.7,49.6639,
1977-10-01,,,,,1758.0,,13.7,201.2545,,7.52,84423.0,1716.3,49.7592,
1977-11-01,,,,,1771.0,84.4,13.6,202.9397,,7.75,84868.0,1739.8,49.8117,
1977-12-01,,,,,1754.0,,13.6,204.6774,,7.75,85105.0,1756.0,49.8949,
1978-01-01,,,,,1740.0,83.7,12.9,207.2931,,7.93,83442.0,1760.1,49.2066,
1978-02-01,,,,,1736.0,84.3,12.5,210.259,,8.0,83738.0,1776.2,49.4502,
1978-03-01,,,,,1799.0,78.8,12.4,213.6058,,8.0,84732.0,1797.9,50.3928,
1978-04-01,,,,,1948.0,81.6,12.3,216.9979,,8.0,86037.0,1821.9,51.4368,
1978-05-01,,,,,1766.0,82.9,12.1,220.4005,,8.27,86842.0,1837.0,51.6276,
1978-06-01,,,,,1983.0,80.0,12.1,223.4759,,8.63,87830.0,1855.8,51.9833,
1978-07-01,,,,,1786.0,82.4,12.0,226.2258,,9.0,87002.0,1876.2,51.9592,
1978-08-01,,,,,1691.0,78.4,11.4,228.3623,,9.01,87305.0,1894.2,52.1543,
1978-09-01,,,,,1751.0,80.4,11.4,230.5011,,9.41,87932.0,1907.5,52.286,
1978-10-01,,,,,1781.0,79.3,11.7,232.9249,,9.94,88549.0,1929.7,52.7054,
1978-11-01,,,,,1795.0,75.0,11.1,235.8062,,10.94,89099.0,1944.0,53.1047,
1978-12-01,,,,,1818.0,66.1,10.6,237.2394,,11.55,89408.0,1964.2,53.3886,
1979-01-01,,,,,1461.0,72.1,11.1,239.757,,11.75,87650.0,1985.7,53.0453,
1979-02-01,,,,,1492.0,73.9,11.2,243.8766,,11.75,87889.0,2004.3,53.3303,
1979-03-01,,,,,1720.0,68.4,11.7,247.8933,,11.75,88792.0,2026.1,53.4973,
1979-04-01,,,,,1597.0,66.0,11.0,253.7609,,11.75,89313.0,2030.9,52.8938,
1979-05-01,,,,,1684.0,68.1,11.1,258.7349,,11.75,90126.0,2044.8,53.3187,
1979-06-01,,,,,1640.0,65.8,10.4,263.4815,,11.65,90971.0,2060.5,53.3157,
1979-07-01,,,,,1534.0,60.4,10.3,267.8631,,11.54,89976.0,2091.9,53.2433,
1979-08-01,,,,,1591.0,64.5,10.6,270.6452,,11.91,90072.0,2111.1,52.8899,
1979-09-01,,,,,1638.0,66.7,10.5,274.3761,,12.9,90616.0,2129.5,52.9486,
1979-10-01,,,,,1481.0,62.1,10.5,276.1506,,14.39,91089.0,2146.8,53.239,
1979-11-01,,,,,1276.0,63.3,10.6,277.2382,,15.55,91287.0,2168.4,53.1918,
1979-12-01,,,,,1254.0,61.0,10.8,279.7257,,15.3,91415.0,2191.9,53.2603,
1980-01-01,,,,,1280.0,67.0,10.4,281.8501,,15.25,89631.0,2217.7,53.5037,
1980-02-01,,,,,1199.0,66.9,10.6,285.6731,,15.63,89764.0,2231.4,53.5053,
1980-03-01,,,,,988.0,56.5,11.0,289.3844,,18.31,90324.0,2246.7,53.3294,
1980-04-01,,,,,808.0,52.7,11.4,290.6018,,19.77,90747.0,2255.8,52.2336,
1980-05-01,,,,,861.0,51.7,10.9,287.8784,,16.57,90763.0,2266.3,50.9638,
1980-06-01,,,,,1118.0,58.7,11.3,287.0378,,12.63,90922.0,2286.3,50.3348,
1980-07-01,,,,,1259.0,62.3,11.8,288.0583,,11.48,89582.0,2321.4,49.9462,
1980-08-01,,,,,1367.0,67.3,12.4,291.4491,,11.12,89865.0,2345.9,50.1256,
1980-09-01,,,,,1484.0,73.7,12.9,294.7925,,12.23,90530.0,2378.1,50.9386,
1980-10-01,,,,,1366.0,75.0,13.1,299.9573,,13.79,91128.0,2418.1,51.5813,
1980-11-01,,,,,1383.0,76.7,13.6,307.3743,,16.06,91475.0,2444.0,52.4717,
1980-12-01,,,,,1249.0,64.5,13.7,312.0383,,20.35,91661.0,2472.0,52.7685,
1981-01-01,,,,,1221.0,71.4,14.3,312.4522,,20.16,89837.0,2488.0,52.4668,
1981-02-01,,,,,1199.0,66.9,14.1,313.117,,19.43,89985.0,2506.5,52.226,
1981-03-01,,,,,1183.0,66.5,14.0,314.3933,,18.05,90520.0,2532.2,52.5025,
1981-04-01,,,,,1190.0,72.4,13.9,318.5024,,17.15,91157.0,2538.8,52.2691,
1981-05-01,,,,,1173.0,76.3,13.6,324.08,,19.61,91647.0,2558.1,52.5803,
1981-06-01,,,,,976.0,73.1,13.7,328.1726,,20.03,92296.0,2582.5,52.8284,
1981-07-01,,,,,935.0,74.1,13.8,331.8571,,20.39,91371.0,2637.2,53.1751,
1981-08-01,,,,,889.0,77.2,14.4,336.523,,20.5,91378.0,2663.9,53.1679,
1981-09-01,,,,,847.0,73.1,13.6,338.1155,,20.08,91876.0,2676.3,52.8514,
1981-10-01,,,,,731.0,70.3,13.5,341.1989,,18.45,92054.0,2678.6,52.4949,
1981-11-01,,,,,748.0,62.5,13.1,345.5088,,16.84,91888.0,2696.3,51.894,
1981-12-01,,,,,796.0,64.3,13.1,350.3077,,15.75,91555.0,2703.1,51.3274,
1982-01-01,,,,,794.0,71.0,13.4,354.8455,,15.75,89328.0,2713.1,50.3043,
1982-02-01,,,,,808.0,66.5,14.1,360.7137,,16.56,89417.0,2732.7,51.3016,
1982-03-01,,,,,891.0,62.0,14.1,363.9746,,16.5,89710.0,2737.8,50.9104,
1982-04-01,,,,,888.0,65.5,14.5,371.0565,,16.5,89993.0,2758.1,50.4627,
1982-05-01,,,,,953.0,67.5,14.9,375.9823,,16.5,90478.0,2774.1,50.138,
1982-06-01,,,,,913.0,65.7,15.7,380.5642,,16.5,90669.0,2784.7,49.9692,
1982-07-01,,,,,1044.0,65.4,15.4,384.0437,,16.26,89338.0,2801.1,49.8138,
1982-08-01,,,,,926.0,65.4,16.2,385.8593,,14.39,89212.0,2815.0,49.3773,
1982-09-01,,,,,1042.0,69.3,16.6,391.0385,,13.5,89628.0,2821.3,49.226,
1982-10-01,,,,,1149.0,73.4,17.2,392.3917,,12.52,89598.0,2834.9,48.7874,
1982-11-01,,,,,1229.0,72.1,17.1,391.9751,,11.85,89495.0,2854.0,48.592,
1982-12-01,,,,,1351.0,71.9,18.1,392.0419,,11.5,89396.0,2872.6,48.2424,
1983-01-01,,,,,1426.0,70.4,19.4,393.1864,,11.16,87729.0,2882.2,49.1762,
1983-02-01,,,,,1471.0,74.6,19.2,393.3556,,10.98,87741.0,2888.8,48.8688,
1983-03-01,,,,,1475.0,80.8,19.4,393.8048,,10.5,88344.0,2906.2,49.2654,
1983-04-01,,,,,1566.0,89.1,19.5,392.4259,,10.5,89187.0,2921.6,49.8675,
1983-05-01,,,,,1669.0,93.3,20.5,391.4906,,10.5,90019.0,2944.8,50.2084,
1983-06-01,,,,,1769.0,92.2,20.8,393.8395,,10.5,90844.0,2959.8,50.5089,
1983-07-01,,,,,1795.0,92.8,21.2,397.7945,,10.5,90271.0,2985.0,51.2733,
1983-08-01,,,,,1713.0,90.9,20.0,401.5866,,10.89,89998.0,2993.7,51.8454,
1983-09-01,,,,,1585.0,89.9,20.2,402.529,,11.0,91719.0,3024.9,52.6303,
1983-10-01,,,,,1716.0,89.3,20.2,405.7486,,11.0,92233.0,3059.3,53.0679,
1983-11-01,,,,,1668.0,91.1,19.7,409.6174,,11.0,92592.0,3088.5,53.2534,
1983-12-01,,,,,1627.0,94.2,19.2,413.9404,,11.0,92863.0,3117.9,53.5343,
1984-01-01,,,,,1816.0,100.1,20.4,415.6054,,11.0,91374.0,3142.7,54.6008,
1984-02-01,,,,,1987.0,97.4,19.0,423.5808,,11.0,91940.0,3182.1,54.835,
1984-03-01,,,,,1725.0,101.0,19.1,430.9463,,11.21,92659.0,3212.1,55.1052,
1984-04-01,,,,,1776.0,96.1,18.9,437.8374,,11.93,93614.0,3245.1,55.4514,
1984-05-01,,,,,1741.0,98.1,18.8,446.3183,,12.39,94489.0,3256.6,55.7141,
1984-06-01,,,,,1814.0,95.5,18.1,450.9723,,12.6,95305.0,3286.9,55.9085,
1984-07-01,,,,,1605.0,96.6,18.0,455.8009,,13.0,94607.0,3306.1,56.0842,
1984-08-01,,,,,1530.0,99.1,17.3,458.7925,,13.0,94888.0,3338.0,56.1376,
1984-09-01,,,,,1523.0,100.9,17.0,461.9148,,12.97,95808.0,3368.0,56.0382,
1984-10-01,,,,,1490.0,96.3,16.7,466.3545,,12.58,96362.0,3366.0,55.9459,
1984-11-01,,,,,1643.0,95.7,17.0,470.9618,,11.77,96738.0,3388.3,56.1667,
1984-12-01,,,,,1626.0,92.9,16.8,473.3524,,11.06,96793.0,3420.7,56.2296,
1985-01-01,,,,,1660.0,96.0,15.9,472.9554,,10.61,95049.0,3433.9,56.1398,
1985-02-01,,,,,1662.0,93.7,15.9,475.5103,,10.5,95259.0,3452.3,56.3323,
1985-03-01,,,,,1727.0,93.7,16.1,480.1662,,10.5,96055.0,3480.0,56.4232,
1985-04-01,,,,,1664.0,94.6,16.4,479.0293,,10.5,96875.0,3478.1,56.2693,
1985-05-01,,,,,1709.0,91.8,15.3,480.7634,,10.31,97726.0,3493.4,56.3488,
1985-06-01,,,,,1716.0,96.5,15.5,482.2753,,9.78,98279.0,3514.9,56.3901,
1985-07-01,,,,,1697.0,94.0,15.5,487.0738,,9.5,97418.0,3528.4,56.0234,
1985-08-01,,,,,1808.0,92.4,15.3,489.8807,,9.5,97667.0,3539.5,56.2555,
1985-09-01,,,,,1916.0,92.1,15.3,494.4003,,9.5,98476.0,3561.4,56.4983,
1985-10-01,,,,,1743.0,88.4,15.3,493.2065,,9.5,98987.0,3584.0,56.2648,
1985-11-01,,,,,1692.0,90.9,15.7,497.0855,,9.5,99240.0,3599.5,56.4549,
1985-12-01,,,,,1794.0,93.9,15.1,498.913,,9.5,99356.0,3633.1,57.0458,
1986-01-01,,,,,1847.0,95.6,14.8,500.402,,9.5,97397.0,3647.0,57.3104,
1986-02-01,,,,,1767.0,95.9,15.2,500.8213,,9.5,97590.0,3664.7,56.9344,
1986-03-01,,,,,1780.0,95.1,14.6,505.3801,,9.1,98138.0,3691.2,56.542,
1986-04-01,,,,,1858.0,96.2,14.7,507.6289,,8.83,98973.0,3696.1,56.5599,
1986-05-01,,,,,1797.0,94.8,14.7,507.915,,8.5,99667.0,3707.3,56.6823,
1986-06-01,,,,,1790.0,99.3,15.2,511.2108,,8.5,99973.0,3722.9,56.4976,
1986-07-01,,,,,1780.0,97.7,15.2,513.0229,,8.16,99219.0,3742.4,56.814,
1986-08-01,,,,,1726.0,94.9,15.5,515.0815,,7.9,99393.0,3756.0,56.7381,
1986-09-01,,,,,1686.0,91.9,15.4,517.69,,7.5,100317.0,3773.0,56.8532,
1986-10-01,,,,,1675.0,95.6,15.2,517.5438,,7.5,100886.0,3782.2,57.1191,
1986-11-01,,,,,1644.0,91.4,15.0,523.8554,,7.5,101141.0,3796.8,57.3792,
1986-12-01,,,,,1903.0,89.1,15.0,539.2427,,7.5,101300.0,3817.4,57.8623,
1987-01-01,,,,,1690.0,90.4,14.9,548.7846,,7.5,99334.0,3831.4,57.685,
1987-02-01,,,,,1689.0,90.2,14.7,546.9636,,7.5,99657.0,3858.1,58.4399,
1987-03-01,,,,,1704.0,90.8,14.9,548.33,,7.5,100367.0,3878.4,58.516,
1987-04-01,,,,,1601.0,92.8,14.8,549.517,,7.75,101369.0,3891.1,58.8851,
1987-05-01,,,,,1500.0,91.1,14.9,551.5356,,8.14,102135.0,3925.0,59.2653,
1987-06-01,,,,,1522.0,91.5,14.9,554.5093,,8.25,102742.0,3936.5,59.5409,
1987-07-01,,,,,1516.0,93.7,14.2,553.435,,8.25,101990.0,3958.9,59.9536,
1987-08-01,,,,,1511.0,94.4,14.4,554.1055,,8.25,102219.0,3995.2,60.4517,
1987-09-01,,,,,1514.0,93.6,14.2,561.3173,,8.7,102986.0,4011.5,60.6069,
1987-10-01,,,,,1447.0,89.3,14.0,563.0683,,9.07,103893.0,4049.8,61.491,
1987-11-01,,,,,1457.0,83.1,14.0,562.5116,,8.78,104232.0,4075.8,61.8137,
1987-12-01,,,,,1345.0,86.8,14.2,565.1506,,8.75,104472.0,4127.4,62.119,
1988-01-01,,,,,1244.0,90.8,14.2,567.0728,,8.75,102380.0,4137.6,62.1469,
1988-02-01,,,,,1438.0,91.6,14.4,568.2592,,8.51,102951.0,4160.3,62.4169,
1988-03-01,,,,,1525.0,94.6,13.7,571.3814,,8.5,103693.0,4183.9,62.5418,
1988-04-01,,,,,1429.0,91.2,13.3,577.3868,,8.5,104587.0,4213.8,62.8959,
1988-05-01,,,,,1444.0,94.8,13.8,583.8101,,8.84,105347.0,4229.2,62.8223,
1988-06-01,,,,,1485.0,94.7,13.1,588.9866,,9.0,106208.0,4261.4,62.9823,
1988-07-01,,,,,1439.0,93.4,13.4,593.9404,,9.29,105315.0,4300.8,63.0093,
1988-08-01,,,,,1460.0,97.4,13.6,594.53,,9.84,105477.0,4324.5,63.2723,
1988-09-01,,,,,1436.0,97.3,13.6,595.4625,,10.0,106341.0,4353.7,63.099,
1988-10-01,,,,,1516.0,94.1,13.4,599.0301,,10.0,107013.0,4392.0,63.4122,
1988-11-01,,,,,1508.0,93.0,12.6,601.0639,,10.05,107500.0,4403.6,63.5128,
1988-12-01,,,,,1501.0,91.9,12.9,604.6499,,10.5,107722.0,4440.2,63.8233,
1989-01-01,,,,,1466.0,97.9,12.6,606.2767,,10.5,105743.0,4504.1,64.0153,
1989-02-01,,,,,1383.0,95.4,12.4,617.0985,,10.93,106170.0,4533.2,63.7242,
1989-03-01,,,,,1214.0,94.3,12.3,616.4861,,11.5,106813.0,4574.4,63.8691,
1989-04-01,,,,,1376.0,91.5,12.5,619.0408,,11.5,107611.0,4587.1,63.9124,
1989-05-01,,,,,1381.0,90.7,12.0,624.2977,,11.5,108294.0,4584.3,63.4884,
1989-06-01,,,,,1322.0,90.6,11.1,624.2628,,11.07,108937.0,4607.3,63.5187,
1989-07-01,,,,,1283.0,92.0,11.8,631.012,,10.98,107848.0,4633.7,62.9354,
1989-08-01,,,,,1334.0,89.6,11.4,635.2465,,10.5,107927.0,4644.3,63.5168,
1989-09-01,,,,,1314.0,95.8,11.5,637.1702,,10.5,108724.0,4667.5,63.2954,
1989-10-01,,,,,1365.0,93.9,11.9,639.3488,,10.5,109217.0,4708.1,63.2542,
1989-11-01,,,,,1344.0,90.9,11.7,639.6847,,10.5,109657.0,4722.8,63.4616,
1989-12-01,,,,,1422.0,90.5,11.6,637.6136,,10.5,109666.0,4740.1,63.8467,
1990-01-01,,,,,1748.0,93.0,11.8,635.7513,,10.11,107573.0,4787.7,63.4228,
1990-02-01,,,,,1329.0,89.5,11.6,636.5333,,10.0,108069.0,4823.2,64.0446,
1990-03-01,,,,,1246.0,91.3,11.7,638.3617,,10.0,108724.0,4845.6,64.358,
1990-04-01,,,,,1136.0,93.9,11.8,640.8468,,10.0,109365.0,4886.1,64.2602,
1990-05-01,,,,,1067.0,90.6,11.7,639.748,,10.0,110270.0,4891.2,64.3973,
1990-06-01,,,,,1108.0,88.3,11.6,641.5256,,10.0,110837.0,4920.3,64.6041,
1990-07-01,,,,,1078.0,88.2,11.9,639.9032,,10.0,109567.0,4948.5,64.5205,
1990-08-01,,,,,1069.0,76.4,12.2,640.3669,,10.0,109449.0,4949.5,64.7326,
1990-09-01,,,,,976.0,72.8,12.4,639.4663,,10.0,110044.0,4977.5,64.8145,
1990-10-01,,,,,925.0,63.9,12.2,637.5261,,10.0,110240.0,4964.6,64.3274,
1990-11-01,,,,,941.0,66.0,12.4,639.1911,,10.0,110203.0,4970.7,63.5753,
1990-12-01,,,,,861.0,65.5,12.5,641.5816,,10.0,109974.0,5000.4,63.1594,
1991-01-01,,,,,786.0,66.8,12.2,636.1393,,9.52,107425.0,4985.8,62.8852,
1991-02-01,,,,,853.0,70.4,12.7,635.9709,,9.05,107393.0,4991.7,62.4462,
1991-03-01,,,,,911.0,87.7,12.9,635.2905,,9.0,107682.0,4999.9,62.119,
1991-04-01,,,,,916.0,81.8,13.5,631.2578,,9.0,108070.0,5028.0,62.2415,
