,Average Weekly Hours of All Employees: Total Private,Value of Manufacturers' New Orders for Consumer Goods: Consumer Durable Goods Industries,"Vendor Performance, Percent Reporting Slower Deliveries for United States",Manufacturers' New Orders: Nondefense Capital Goods Excluding Aircraft,New Private Housing Units Authorized by Building Permits,Average (Mean) Duration of Unemployment,"Commercial and Industrial Loans, All Commercial Banks",month
1946-01-01,,,91.0,,,,,1946-01-01
1946-02-01,,,82.0,,,,,1946-02-01
1946-03-01,,,78.0,,,,,1946-03-01
1946-04-01,,,82.0,,,,,1946-04-01
1946-05-01,,,86.0,,,,,1946-05-01
1946-06-01,,,81.0,,,,,1946-06-01
1946-07-01,,,69.0,,,,,1946-07-01
1946-08-01,,,71.0,,,,,1946-08-01
1946-09-01,,,73.0,,,,,1946-09-01
1946-10-01,,,60.0,,,,,1946-10-01
1946-11-01,,,49.0,,,,,1946-11-01
1946-12-01,,,38.0,,,,,1946-12-01
1947-01-01,,,37.0,,,,11.2894,1947-01-01
1947-02-01,,,42.0,,,,11.5179,1947-02-01
1947-03-01,,,34.0,,,,11.7667,1947-03-01
1947-04-01,,,25.0,,,,12.0269,1947-04-01
1947-05-01,,,20.0,,,,12.2788,1947-05-01
1947-06-01,,,24.0,,,,12.4832,1947-06-01
1947-07-01,,,22.0,,,,12.78,1947-07-01
1947-08-01,,,25.0,,,,13.0822,1947-08-01
1947-09-01,,,30.0,,,,13.3523,1947-09-01
1947-10-01,,,31.0,,,,13.6287,1947-10-01
1947-11-01,,,38.0,,,,13.8998,1947-11-01
1947-12-01,,,41.0,,,,14.2053,1947-12-01
1948-01-01,,,35.0,,,8.9,14.4049,1948-01-01
1948-02-01,,,34.0,,,8.4,14.5635,1948-02-01
1948-03-01,,,26.0,,,8.7,14.7454,1948-03-01
1948-04-01,,,36.0,,,8.5,14.9301,1948-04-01
1948-05-01,,,31.0,,,9.1,15.0976,1948-05-01
1948-06-01,,,30.0,,,8.8,15.2158,1948-06-01
1948-07-01,,,36.0,,,8.6,15.2705,1948-07-01
1948-08-01,,,36.0,,,8.8,15.212,1948-08-01
1948-09-01,,,38.0,,,8.5,15.1478,1948-09-01
1948-10-01,,,38.0,,,9.5,15.0945,1948-10-01
1948-11-01,,,32.0,,,7.8,15.0462,1948-11-01
1948-12-01,,,17.0,,,8.1,15.0348,1948-12-01
1949-01-01,,,16.0,,,8.2,14.9254,1949-01-01
1949-02-01,,,12.0,,,8.3,14.7874,1949-02-01
1949-03-01,,,10.0,,,8.3,14.6621,1949-03-01
1949-04-01,,,14.0,,,8.8,14.5149,1949-04-01
1949-05-01,,,12.0,,,9.1,14.3455,1949-05-01
1949-06-01,,,12.0,,,10.0,14.1386,1949-06-01
1949-07-01,,,22.0,,,10.8,14.0212,1949-07-01
1949-08-01,,,38.0,,,11.0,13.923,1949-08-01
1949-09-01,,,53.0,,,11.7,13.8246,1949-09-01
1949-10-01,,,60.0,,,10.9,13.7376,1949-10-01
1949-11-01,,,58.0,,,11.6,13.6548,1949-11-01
1949-12-01,,,50.0,,,11.8,13.5957,1949-12-01
1950-01-01,,,54.0,,,11.3,13.6493,1950-01-01
1950-02-01,,,62.0,,,11.8,13.7957,1950-02-01
1950-03-01,,,60.0,,,12.4,13.9531,1950-03-01
1950-04-01,,,60.0,,,12.6,14.1119,1950-04-01
1950-05-01,,,66.0,,,12.7,14.2519,1950-05-01
1950-06-01,,,64.0,,,13.1,14.388,1950-06-01
1950-07-01,,,88.0,,,12.5,14.7712,1950-07-01
1950-08-01,,,94.0,,,12.2,15.2975,1950-08-01
1950-09-01,,,96.0,,,12.2,15.8075,1950-09-01
1950-10-01,,,88.0,,,12.3,16.3104,1950-10-01
1950-11-01,,,87.0,,,10.7,16.8092,1950-11-01
1950-12-01,,,84.0,,,10.7,17.3061,1950-12-01
1951-01-01,,,84.0,,,10.6,17.7542,1951-01-01
1951-02-01,,,85.0,,,10.8,18.1862,1951-02-01
1951-03-01,,,74.0,,,10.1,18.6363,1951-03-01
1951-04-01,,,58.0,,,10.6,19.1031,1951-04-01
1951-05-01,,,46.0,,,9.9,19.5512,1951-05-01
1951-06-01,,,38.0,,,8.7,20.0031,1951-06-01
1951-07-01,,,34.0,,,9.2,20.2509,1951-07-01
1951-08-01,,,38.0,,,9.1,20.3672,1951-08-01
1951-09-01,,,50.0,,,9.1,20.4775,1951-09-01
1951-10-01,,,50.0,,,8.9,20.6053,1951-10-01
1951-11-01,,,34.0,,,9.7,20.7329,1951-11-01
1951-12-01,,,31.0,,,9.3,20.9657,1951-12-01
1952-01-01,,,28.0,,,9.3,22.1319,1952-01-01
1952-02-01,,,22.0,,,8.8,22.4316,1952-02-01
1952-03-01,,,18.0,,,8.4,22.3763,1952-03-01
1952-04-01,,,19.0,,,9.0,22.138,1952-04-01
1952-05-01,,,23.0,,,7.8,21.9293,1952-05-01
1952-06-01,,,34.0,,,7.3,22.0525,1952-06-01
1952-07-01,,,50.0,,,7.5,22.1461,1952-07-01
1952-08-01,,,47.0,,,7.6,22.3937,1952-08-01
1952-09-01,,,46.0,,,8.1,22.6967,1952-09-01
1952-10-01,,,46.0,,,9.1,23.0685,1952-10-01
1952-11-01,,,44.0,,,9.5,23.4435,1952-11-01
1952-12-01,,,40.0,,,8.8,23.23,1952-12-01
1953-01-01,,,37.0,,,9.3,23.4687,1953-01-01
1953-02-01,,,37.0,,,8.4,23.6226,1953-02-01
1953-03-01,,,40.0,,,8.5,23.6983,1953-03-01
1953-04-01,,,38.0,,,7.8,23.8228,1953-04-01
1953-05-01,,,36.0,,,7.9,23.8827,1953-05-01
1953-06-01,,,34.0,,,8.2,23.7607,1953-06-01
1953-07-01,,,30.0,,,7.9,23.7782,1953-07-01
1953-08-01,,,30.0,,,8.0,23.9951,1953-08-01
1953-09-01,,,25.0,,,7.1,24.0138,1953-09-01
1953-10-01,,,22.0,,,7.2,23.9825,1953-10-01
1953-11-01,,,20.0,,,7.9,23.87,1953-11-01
1953-12-01,,,20.0,,,8.0,23.1686,1953-12-01
1954-01-01,,,21.0,,,8.7,23.0112,1954-01-01
1954-02-01,,,24.0,,,9.5,22.952,1954-02-01
1954-03-01,,,27.0,,,10.6,22.927,1954-03-01
1954-04-01,,,30.0,,,10.9,22.7987,1954-04-01
1954-05-01,,,35.0,,,11.6,22.6694,1954-05-01
1954-06-01,,,36.0,,,12.3,22.5139,1954-06-01
1954-07-01,,,40.0,,,12.5,22.439,1954-07-01
1954-08-01,,,41.0,,,12.8,22.4422,1954-08-01
1954-09-01,,,47.0,,,12.9,22.4805,1954-09-01
1954-10-01,,,53.0,,,13.3,22.5787,1954-10-01
1954-11-01,,,52.0,,,13.2,22.6956,1954-11-01
1954-12-01,,,50.0,,,13.4,22.5382,1954-12-01
1955-01-01,,,54.0,,,13.4,22.8036,1955-01-01
1955-02-01,,,60.0,,,14.2,22.9901,1955-02-01
1955-03-01,,,66.0,,,13.4,23.1876,1955-03-01
1955-04-01,,,71.0,,,14.3,23.3723,1955-04-01
1955-05-01,,,70.0,,,14.4,23.7085,1955-05-01
1955-06-01,,,65.0,,,13.4,24.1102,1955-06-01
1955-07-01,,,70.0,,,13.8,24.5263,1955-07-01
1955-08-01,,,72.0,,,12.3,24.963,1955-08-01
1955-09-01,,,72.0,,,11.7,25.3672,1955-09-01
1955-10-01,,,72.0,,,11.5,25.7546,1955-10-01
1955-11-01,,,66.0,,,11.3,26.4404,1955-11-01
1955-12-01,,,56.0,,,12.0,26.7161,1955-12-01
1956-01-01,,,48.0,,,11.7,27.1736,1956-01-01
1956-02-01,,,46.0,,,12.5,27.6564,1956-02-01
1956-03-01,,,49.0,,,11.6,28.5289,1956-03-01
1956-04-01,,,50.0,,,11.0,29.285,1956-04-01
1956-05-01,,,39.0,,,10.4,29.6299,1956-05-01
1956-06-01,,,40.0,,,10.1,30.263,1956-06-01
1956-07-01,,,56.0,,,10.5,30.7252,1956-07-01
1956-08-01,,,52.0,,,12.0,31.0855,1956-08-01
1956-09-01,,,47.0,,,11.8,31.4451,1956-09-01
1956-10-01,,,44.0,,,11.6,31.8895,1956-10-01
1956-11-01,,,46.0,,,10.9,32.2609,1956-11-01
1956-12-01,,,36.0,,,11.4,32.473,1956-12-01
1957-01-01,,,33.0,,,10.4,32.687,1957-01-01
1957-02-01,,,28.0,,,10.7,32.6895,1957-02-01
1957-03-01,,,25.0,,,10.8,33.0407,1957-03-01
1957-04-01,,,28.0,,,10.6,33.3856,1957-04-01
1957-05-01,,,30.0,,,10.4,33.6362,1957-05-01
1957-06-01,,,29.0,,,10.2,34.0596,1957-06-01
1957-07-01,,,38.0,,,10.1,34.3749,1957-07-01
1957-08-01,,,34.0,,,10.5,34.5961,1957-08-01
1957-09-01,,,32.0,,,9.8,34.5474,1957-09-01
1957-10-01,,,36.0,,,11.1,34.4197,1957-10-01
1957-11-01,,,29.0,,,10.4,34.3325,1957-11-01
1957-12-01,,,25.0,,,10.4,33.8853,1957-12-01
1958-01-01,,,28.0,,,10.5,34.6988,1958-01-01
1958-02-01,,,28.0,,,11.0,34.8623,1958-02-01
1958-03-01,,,32.0,,,11.2,34.7528,1958-03-01
1958-04-01,,,34.0,,,12.1,34.5718,1958-04-01
1958-05-01,,,38.0,,,13.1,34.4375,1958-05-01
1958-06-01,,,38.0,,,14.4,34.2718,1958-06-01
1958-07-01,,,44.0,,,14.6,34.1831,1958-07-01
1958-08-01,,,49.0,,,15.7,34.3612,1958-08-01
1958-09-01,,,57.0,,,16.5,34.5237,1958-09-01
1958-10-01,,,58.0,,,16.5,34.7518,1958-10-01
1958-11-01,,,58.0,,,16.4,34.9156,1958-11-01
1958-12-01,,,52.0,,,15.7,34.9489,1958-12-01
1959-01-01,,,58.0,,,16.3,35.213,1959-01-01
1959-02-01,,,62.0,,,15.5,35.2201,1959-02-01
1959-03-01,,,62.0,,,15.3,35.1304,1959-03-01
1959-04-01,,,62.0,,,14.9,35.5581,1959-04-01
1959-05-01,,,62.0,,,14.7,36.3064,1959-05-01
1959-06-01,,,62.0,,,14.9,37.1404,1959-06-01
1959-07-01,,,60.0,,,14.3,37.6645,1959-07-01
1959-08-01,,,62.0,,,13.7,38.089,1959-08-01
1959-09-01,,,64.0,,,13.7,38.2605,1959-09-01
1959-10-01,,,64.0,,,12.9,38.4113,1959-10-01
1959-11-01,,,56.0,,,13.1,38.6978,1959-11-01
1959-12-01,,,50.0,,,13.1,39.2932,1959-12-01
1960-01-01,,,44.0,,1092.0,13.5,39.6291,1960-01-01
1960-02-01,,,30.0,,1088.0,13.1,39.7872,1960-02-01
1960-03-01,,,27.0,,955.0,13.0,40.018,1960-03-01
1960-04-01,,,28.0,,1016.0,12.6,40.5152,1960-04-01
1960-05-01,,,32.0,,1052.0,11.9,40.8926,1960-05-01
1960-06-01,,,34.0,,958.0,11.9,41.3564,1960-06-01
1960-07-01,,,36.0,,999.0,12.6,41.3958,1960-07-01
1960-08-01,,,40.0,,994.0,12.2,41.3249,1960-08-01
1960-09-01,,,41.0,,984.0,12.9,41.4006,1960-09-01
1960-10-01,,,39.0,,972.0,13.5,41.5247,1960-10-01
1960-11-01,,,38.0,,979.0,13.9,41.6827,1960-11-01
1960-12-01,,,38.0,,951.0,12.4,42.1051,1960-12-01
1961-01-01,,,38.0,,969.0,13.7,42.0358,1961-01-01
1961-02-01,,,40.0,,961.0,13.6,41.9503,1961-02-01
1961-03-01,,,40.0,,1000.0,14.1,42.0518,1961-03-01
1961-04-01,,,47.0,,1002.0,15.5,42.2127,1961-04-01
1961-05-01,,,48.0,,1027.0,15.6,42.1342,1961-05-01
1961-06-01,,,48.0,,1070.0,16.2,42.4519,1961-06-01
1961-07-01,,,49.0,,1083.0,17.3,42.5813,1961-07-01
1961-08-01,,,52.0,,1159.0,17.0,42.6567,1961-08-01
1961-09-01,,,55.0,,1098.0,16.1,42.7707,1961-09-01
1961-10-01,,,55.0,,1123.0,15.9,42.9778,1961-10-01
1961-11-01,,,51.0,,1152.0,17.0,43.1337,1961-11-01
1961-12-01,,,53.0,,1161.0,15.8,43.7997,1961-12-01
1962-01-01,,,56.0,,1122.0,15.3,43.9853,1962-01-01
1962-02-01,,,56.0,,1194.0,16.0,43.8688,1962-02-01
1962-03-01,,,55.0,,1134.0,15.0,44.1012,1962-03-01
1962-04-01,,,48.0,,1235.0,14.9,44.5398,1962-04-01
1962-05-01,,,46.0,,1142.0,15.5,44.8413,1962-05-01
1962-06-01,,,42.0,,1154.0,15.1,45.5419,1962-06-01
1962-07-01,,,44.0,,1189.0,14.6,45.7268,1962-07-01
1962-08-01,,,44.0,,1200.0,14.5,45.9234,1962-08-01
1962-09-01,,,48.0,,1223.0,14.1,46.3736,1962-09-01
1962-10-01,,,48.0,,1181.0,14.1,46.8487,1962-10-01
1962-11-01,,,48.0,,1236.0,13.3,47.1998,1962-11-01
1962-12-01,,,48.0,,1236.0,13.6,47.4376,1962-12-01
1963-01-01,,,50.0,,1248.0,13.8,47.6623,1963-01-01
1963-02-01,,,52.0,,1212.0,14.1,47.8294,1963-02-01
1963-03-01,,,54.0,,1258.0,14.5,47.9739,1963-03-01
1963-04-01,,,60.0,,1288.0,14.5,48.3917,1963-04-01
1963-05-01,,,58.0,,1350.0,14.5,48.649,1963-05-01
1963-06-01,,,54.0,,1345.0,14.0,49.2469,1963-06-01
1963-07-01,,,42.0,,1321.0,14.0,49.4664,1963-07-01
1963-08-01,,,48.0,,1310.0,13.9,49.4768,1963-08-01
1963-09-01,,,52.0,,1413.0,14.2,49.8225,1963-09-01
1963-10-01,,,48.0,,1414.0,13.9,50.4111,1963-10-01
1963-11-01,,,48.0,,1357.0,13.3,51.2382,1963-11-01
1963-12-01,,,46.0,,1423.0,13.3,52.1741,1963-12-01
1964-01-01,,,55.0,,1296.0,13.5,52.4186,1964-01-01
1964-02-01,,,54.0,,1442.0,13.2,52.5482,1964-02-01
1964-03-01,,,60.0,,1313.0,13.5,52.7139,1964-03-01
1964-04-01,,,60.0,,1264.0,12.4,53.229,1964-04-01
1964-05-01,,,63.0,,1299.0,13.6,53.7445,1964-05-01
1964-06-01,,,55.0,,1280.0,13.6,54.2937,1964-06-01
1964-07-01,,,59.0,,1304.0,14.7,54.7159,1964-07-01
1964-08-01,,,65.0,,1306.0,13.0,55.1046,1964-08-01
1964-09-01,,,74.0,,1265.0,12.7,55.7749,1964-09-01
1964-10-01,,,72.0,,1230.0,12.6,56.2908,1964-10-01
1964-11-01,,,70.0,,1254.0,14.0,56.8628,1964-11-01
1964-12-01,,,66.0,,1164.0,12.7,58.3481,1964-12-01
1965-01-01,,,68.0,,1264.0,12.2,59.241,1965-01-01
1965-02-01,,,72.0,,1185.0,12.6,60.0693,1965-02-01
1965-03-01,,,66.0,,1211.0,12.0,61.1489,1965-03-01
1965-04-01,,,72.0,,1162.0,11.4,62.1331,1965-04-01
1965-05-01,,,70.0,,1207.0,11.1,62.925,1965-05-01
1965-06-01,,,66.0,,1241.0,11.6,64.1511,1965-06-01
1965-07-01,,,62.0,,1237.0,11.6,64.8904,1965-07-01
1965-08-01,,,64.0,,1249.0,11.9,65.4792,1965-08-01
1965-09-01,,,62.0,,1227.0,11.9,66.3883,1965-09-01
1965-10-01,,,60.0,,1279.0,12.1,67.05,1965-10-01
1965-11-01,,,66.0,,1306.0,11.7,67.754,1965-11-01
1965-12-01,,,72.0,,1315.0,11.4,69.1577,1965-12-01
1966-01-01,,,74.0,,1325.0,11.9,69.9831,1966-01-01
1966-02-01,,,85.0,,1159.0,11.2,70.683,1966-02-01
1966-03-01,,,86.0,,1234.0,11.1,71.521,1966-03-01
1966-04-01,,,82.0,,1145.0,10.8,72.3728,1966-04-01
1966-05-01,,,75.0,,1078.0,10.2,73.3273,1966-05-01
1966-06-01,,,69.0,,956.0,9.7,75.3919,1966-06-01
1966-07-01,,,70.0,,932.0,9.7,76.7826,1966-07-01
1966-08-01,,,73.0,,877.0,9.8,76.9939,1966-08-01
1966-09-01,,,72.0,,774.0,10.1,77.4883,1966-09-01
1966-10-01,,,70.0,,739.0,10.3,78.0104,1966-10-01
1966-11-01,,,64.0,,736.0,9.7,78.3726,1966-11-01
1966-12-01,,,57.0,,743.0,9.5,78.976,1966-12-01
1967-01-01,,,48.0,,995.0,9.3,79.274,1967-01-01
1967-02-01,,,51.0,,907.0,9.2,79.558,1967-02-01
1967-03-01,,,,,955.0,8.9,80.1231,1967-03-01
1967-04-01,,,,,1035.0,8.8,81.185,1967-04-01
1967-05-01,,,,,1076.0,8.7,81.6022,1967-05-01
1967-06-01,,,,,1169.0,8.3,82.6929,1967-06-01
1967-07-01,,,,,1177.0,8.3,83.7351,1967-07-01
1967-08-01,,,,,1229.0,8.9,83.5123,1967-08-01
1967-09-01,,,,,1279.0,8.4,83.7365,1967-09-01
1967-10-01,,,,,1280.0,8.7,84.1043,1967-10-01
1967-11-01,,,,,1297.0,8.9,84.5959,1967-11-01
1967-12-01,,,,,1315.0,8.6,86.1397,1967-12-01
1968-01-01,,,,,1179.0,9.4,86.5509,1968-01-01
1968-02-01,,,,,1342.0,8.7,86.5981,1968-02-01
1968-03-01,,,,,1370.0,8.5,87.114,1968-03-01
1968-04-01,,,,,1286.0,8.7,88.421,1968-04-01
1968-05-01,,,,,1297.0,8.2,88.9726,1968-05-01
1968-06-01,,,,,1300.0,7.9,89.9295,1968-06-01
1968-07-01,,,,,1344.0,8.4,91.0358,1968-07-01
1968-08-01,,,,,1357.0,8.3,91.2381,1968-08-01
1968-09-01,,,,,1464.0,8.2,91.8452,1968-09-01
1968-10-01,,,,,1421.0,8.4,92.8125,1968-10-01
1968-11-01,,,,,1436.0,8.1,94.47,1968-11-01
1968-12-01,,,,,1389.0,8.2,96.2065,1968-12-01
1969-01-01,,,,,1459.0,8.1,97.1481,1969-01-01
1969-02-01,,,,,1495.0,7.9,98.2963,1969-02-01
1969-03-01,,,,,1438.0,7.9,99.2383,1969-03-01
1969-04-01,,,,,1441.0,7.9,100.7715,1969-04-01
1969-05-01,,,,,1328.0,7.9,101.9454,1969-05-01
1969-06-01,,,,,1349.0,7.7,102.5404,1969-06-01
1969-07-01,,,,,1278.0,7.8,103.0557,1969-07-01
1969-08-01,,,,,1317.0,7.9,103.3067,1969-08-01
1969-09-01,,,,,1263.0,8.0,103.8176,1969-09-01
1969-10-01,,,,,1216.0,7.6,104.3372,1969-10-01
1969-11-01,,,,,1191.0,8.0,105.1854,1969-11-01
1969-12-01,,,,,1155.0,8.0,106.5979,1969-12-01
1970-01-01,,,,,1062.0,7.9,106.2979,1970-01-01
1970-02-01,,,,,1118.0,8.0,105.6953,1970-02-01
1970-03-01,,,,,1132.0,8.3,105.4128,1970-03-01
1970-04-01,,,,,1224.0,8.2,105.6766,1970-04-01
1970-05-01,,,,,1328.0,8.6,106.0118,1970-05-01
1970-06-01,,,,,1322.0,8.6,106.8358,1970-06-01
1970-07-01,,,,,1324.0,8.9,107.677,1970-07-01
1970-08-01,,,,,1394.0,8.8,108.5407,1970-08-01
1970-09-01,,,,,1426.0,8.9,109.5289,1970-09-01
1970-10-01,,,,,1564.0,8.7,109.774,1970-10-01
1970-11-01,,,,,1502.0,9.3,110.1744,1970-11-01
1970-12-01,,,,,1767.0,9.8,111.3578,1970-12-01
1971-01-01,,,,,1643.0,10.5,111.5479,1971-01-01
1971-02-01,,,,,1588.0,10.4,111.8951,1971-02-01
1971-03-01,,,,,1759.0,10.6,111.9877,1971-03-01
1971-04-01,,,,,1745.0,10.9,112.1496,1971-04-01
1971-05-01,,,,,1972.0,11.2,113.0615,1971-05-01
1971-06-01,,,,,1903.0,11.6,114.1265,1971-06-01
1971-07-01,,,,,2069.0,11.5,114.3772,1971-07-01
1971-08-01,,,,,2004.0,11.5,115.6802,1971-08-01
1971-09-01,,,,,1996.0,11.9,116.6745,1971-09-01
1971-10-01,,,,,2026.0,12.6,117.268,1971-10-01
1971-11-01,,,,,2079.0,12.0,117.8104,1971-11-01
1971-12-01,,,,,2133.0,11.5,117.7961,1971-12-01
1972-01-01,,,,,2238.0,12.1,118.1645,1972-01-01
1972-02-01,,,,,2169.0,12.4,118.8982,1972-02-01
1972-03-01,,,,,2105.0,12.3,119.691,1972-03-01
1972-04-01,,,,,2139.0,12.4,121.2319,1972-04-01
1972-05-01,,,,,2067.0,12.3,122.692,1972-05-01
1972-06-01,,,,,2183.0,12.4,123.7672,1972-06-01
1972-07-01,,,,,2195.0,11.8,124.6817,1972-07-01
1972-08-01,,,,,2263.0,11.8,126.0083,1972-08-01
1972-09-01,,,,,2393.0,12.1,126.9574,1972-09-01
1972-10-01,,,,,2354.0,11.7,129.0908,1972-10-01
1972-11-01,,,,,2234.0,11.4,131.5901,1972-11-01
1972-12-01,,,,,2419.0,11.4,133.1093,1972-12-01
1973-01-01,,,,,2271.0,11.0,135.4135,1973-01-01
1973-02-01,,,,,2226.0,10.5,140.7983,1973-02-01
1973-03-01,,,,,2062.0,10.6,144.9576,1973-03-01
1973-04-01,,,,,1908.0,10.0,147.5343,1973-04-01
1973-05-01,,,,,1931.0,10.1,149.9659,1973-05-01
1973-06-01,,,,,2051.0,9.6,152.8292,1973-06-01
1973-07-01,,,,,1819.0,9.6,155.3291,1973-07-01
1973-08-01,,,,,1809.0,9.8,158.0681,1973-08-01
1973-09-01,,,,,1704.0,9.4,158.5066,1973-09-01
1973-10-01,,,,,1411.0,10.2,159.1694,1973-10-01
